Home Assistant notifications (Log started: 2021-11-26T15:30:00.048401+00:00)
--------------------------------------------------------------------------------
202111261730;5.7;23.2;
202111261740;5.7;23.2;
202111261750;5.7;23.2;
202111261800;5.7;23.2;
202111261810;5.7;23.1;
202111261820;5.7;23.1;
202111261830;4.9;23.1;
202111261840;4.9;23.2;
202111261850;4.9;23.1;
202111261900;4.9;23.2;
202111261910;4.9;23.1;
202111261920;4.9;23.2;
202111261930;4.7;23.2;
202111261940;4.7;23.2;
202111261950;4.7;23.2;
202111262000;4.7;23.2;
202111262010;4.7;23.0;
202111262020;4.7;23.1;
202111262030;5.1;23.0;
202111262040;5.1;23.0;
202111262050;5.1;23.1;
202111262100;5.1;23.2;
202111262110;5.1;23.3;
202111262120;5.1;23.3;
202111262130;5.9;23.3;
202111262140;5.9;23.3;
202111262150;5.9;23.3;
202111262200;5.9;23.3;
202111262210;5.9;23.3;
202111262220;5.9;23.3;
202111262230;5.9;23.3;
202111262240;7.0;23.3;
202111262250;7.0;23.3;
202111262300;7.0;23.3;
202111262310;7.0;23.2;
202111262320;7.0;23.2;
202111262330;7.0;23.3;
202111262340;7.0;23.3;
202111262350;7.0;23.3;
202111270000;7.0;23.3;
202111270010;7.0;23.3;
202111270020;7.0;23.3;
202111270030;7.0;23.2;
202111270040;7.0;23.2;
202111270050;7.0;23.2;
202111270100;7.0;23.1;
202111270110;7.0;23.1;
202111270120;7.0;23.1;
202111270130;7.0;23.0;
202111270140;7.0;23.0;
202111270150;7.0;23.0;
202111270200;7.0;23.0;
202111270210;7.0;22.9;
202111270220;7.0;23.0;
202111270230;7.0;22.9;
202111270240;6.1;22.9;
202111270250;6.1;22.9;
202111270300;6.1;22.9;
202111270310;6.1;22.9;
202111270320;6.1;22.9;
202111270330;6.1;22.9;
202111270340;6.1;22.9;
202111270350;6.1;22.8;
202111270400;6.1;22.8;
202111270410;6.1;22.8;
202111270420;6.1;22.8;
202111270430;6.1;22.8;
202111270440;6.5;22.8;
202111270450;6.5;22.8;
202111270500;6.5;22.7;
202111270510;6.5;22.7;
202111270520;6.5;22.6;
202111270530;6.5;22.7;
202111270540;7.0;22.7;
202111270550;7.0;22.7;
202111270600;7.0;22.7;
202111270610;7.0;22.7;
202111270620;7.0;22.6;
202111270630;7.0;22.6;
202111270640;7.3;22.6;
202111270650;7.3;22.6;
202111270700;7.3;22.7;
202111270710;7.3;22.6;
202111270720;7.3;22.7;
202111270730;7.3;22.7;
202111270740;7.8;22.6;
202111270750;7.8;22.7;
202111270800;7.8;22.7;
202111270810;7.8;22.7;
202111270820;7.8;22.7;
202111270830;7.8;22.8;
202111270840;7.8;22.8;
202111270850;8.2;22.8;
202111270900;8.2;22.8;
202111270910;8.2;22.8;
202111270920;8.2;22.8;
202111270930;8.2;22.8;
202111270940;8.2;22.8;
202111270950;8.9;22.8;
202111271000;8.9;22.8;
202111271010;8.9;22.8;
202111271020;8.9;22.8;
202111271030;8.9;22.8;
202111271040;8.9;22.8;
202111271050;9.4;22.8;
202111271100;9.4;22.8;
202111271110;9.4;22.9;
